ID;Categoría;Bloque;Regla;Umbral actual;Nivel;Precondiciones;Mensaje en pantalla;Mantener / Cambiar / Quitar;Nuevo umbral propuesto;Nuevo nivel propuesto;Notas del equipo
;;;PARÁMETROS GLOBALES (afectan a varias reglas);;;;;;;;
G01;Global;Trader activo;"Trader activo = último trade hace ≤ N días (varias alertas solo aparecen si es activo)";7 días;—;—;—;;;;
G02;Global;Mín trades sensación;Mínimo de trades con una misma sensación para evaluarla;3 trades;—;—;—;;;;
G03;Global;Mín trades por par;Mínimo de trades en un par para considerarlo en mejor/peor;5 trades;—;—;—;;;;
G04;Global;Mín trades por franja horaria;Mínimo de trades en una franja para considerarla;5 trades;—;—;—;;;;
G05;Global;Mín trades con RR;Mínimo de trades con RR registrado para evaluar el RR medio;10 trades;—;—;—;;;;
G06;Global;Tendencia 28d - mín recientes;Mínimo trades en últimos 28 días para evaluar tendencia;5 trades;—;—;—;;;;
G07;Global;Tendencia 28d - mín históricos;Mínimo trades totales para comparar con histórico;30 trades;—;—;—;;;;
G08;Global;Días operados ratio;Mínimo de días operados para calcular ratio días positivos;5 días;—;—;—;;;;
;;;TÉCNICO — ALERTAS;;;;;;;;
T01;Técnico;Racha SL global;Racha activa de SL consecutivos (incluye todas las estrategias);≥ 5 SL;🛑 DANGER;—;"Racha activa de X SL — Protocolo Reseteo (24h obligatorio)";;;;
T02;Técnico;Racha SL global;Racha activa de SL consecutivos (medio);≥ 3 SL;🛑 DANGER;—;"Racha activa de X SL consecutivos — revisa contexto";;;;
T03;Técnico;Racha SL global;Racha activa de SL consecutivos (avisador);= 2 SL;⏳ WARNING;—;"2 SL consecutivos — precaución, evalúa bien el siguiente setup";;;;
T04;Técnico;Racha SL por estrategia;Racha activa en Zonas/Liquidez/Nasdaq individualmente (severa);≥ 5 SL en la estrategia;🛑 DANGER;—;"X: N SL consecutivos — Protocolo Reseteo (pausa 24h)";;;;
T05;Técnico;Racha SL por estrategia;Racha activa en una estrategia (media);≥ 3 SL en la estrategia;🛑 DANGER;—;"X: N SL consecutivos — considera pausar";;;;
T06;Técnico;Hoy - sobreoperar;Total de trades hoy excede el límite (regla casa: máx 5/día);≥ 5 trades hoy;🛑 DANGER;—;"HOY llevas N trades — para (tu regla: máx 5/día)";;;;
T07;Técnico;Hoy - sobreoperar;Aviso anticipado (un trade más y al límite);= 4 trades hoy;⏳ WARNING;—;"HOY llevas 4 trades — un más y estás al límite";;;;
T08;Técnico;Hoy - SLs (REVISAR);"Total de SL hoy excede el límite (regla casa: máx 2 SL/día). ⚠ EL USUARIO INDICÓ QUE ESTE UMBRAL NO ENCAJA CON SU SISTEMA";≥ 2 SL hoy;🛑 DANGER;—;"HOY ya N SL — para (tu regla: máx 2 SL/día). Cierra plataforma y revisa journaling";;;;
T09;Técnico;Días en rojo seguidos;Días operados consecutivos terminando en negativo (severa);≥ 3 días en rojo;🛑 DANGER;Trader activo (G01);"Racha activa: N días operados seguidos en rojo — Protocolo Reseteo";;;;
T10;Técnico;Días en rojo seguidos;Aviso anticipado;= 2 días en rojo;⏳ WARNING;Trader activo (G01);"2 días operados seguidos en rojo — cuidado con la siguiente sesión";;;;
T11;Técnico;Sobreoperar reciente;Algún día con ≥5 trades en los últimos 14 días (sin contar hoy);≥ 5 trades en algún día (últimos 14);⏳ WARNING;—;"Sobreoperar reciente: N días con 5+ trades (últimos 14). Peor: fecha con M trades";;;;
T12;Técnico;Sobreoperar por sesión;Varias sesiones donde misma estrategia se repite mucho en un mismo día;≥ 2 sesiones con ≥ 3 trades de la misma estrategia el mismo día (últimos 14);⏳ WARNING;—;"Sobreoperar por sesión: N sesiones con 3+ trades. Recomendado máx 2/sesión";;;;
T13;Técnico;Tendencia 28 días;Caída del WR de los últimos 28 días vs WR histórico;WR 28d ≤ WR histórico - 8 pp;🛑 DANGER;G06 + G07;"Tendencia 4 semanas en bajada (-Xpp). Algo está cambiando";;;;
T14;Técnico;Tendencia 28 días (INSIGHT);Mejora del WR reciente vs histórico;WR 28d ≥ WR histórico + 8 pp;✅ INSIGHT;G06 + G07;"Tendencia 4 semanas mejorando (+Xpp)";;;;
T15;Técnico;Peor par;Par con WR muy por debajo del global;WR par < WR global - 20 pp;🛑 DANGER;G03;"Peor par: X — Y% WR. Reduce o elimina";;;;
